project,file,class,changes,distinct_authors
camel,camel/core/camel-core/src/test/java/org/apache/camel/ThreadPoolRejectedPolicyTest.java,mocktask,1,1
camel,camel/core/camel-core/src/test/java/org/apache/camel/ThreadPoolRejectedPolicyTest.java,mockrunnable,1,1
camel,camel/core/camel-core/src/test/java/org/apache/camel/ThreadPoolRejectedPolicyTest.java,mockrejectablerunnable,1,1
camel,camel/core/camel-core/src/test/java/org/apache/camel/ThreadPoolRejectedPolicyTest.java,mockcallable,1,1
camel,camel/core/camel-core/src/test/java/org/apache/camel/ThreadPoolRejectedPolicyTest.java,mockrejectablecallable,1,1
camel,camel/core/camel-core/src/test/java/org/apache/camel/impl/MockScheduledPollConsumer.java,mockscheduledpollconsumer,1,1
camel,camel/core/camel-core/src/test/java/org/apache/camel/impl/Mock321ScheduledPollConsumer.java,mock321scheduledpollconsumer,1,1
camel,camel/core/camel-core/src/test/java/org/apache/camel/processor/LogEipMaskTest.java,mockmaskingformatter,2,2
camel,camel/core/camel-core/src/test/java/org/apache/camel/component/log/LogMaskTest.java,mockmaskingformatter,2,2
camel,camel/core/camel-core/src/test/java/org/apache/camel/component/rest/RestEndpointTest.java,mockrest,1,1
camel,camel/core/camel-componentdsl/src/generated/java/org/apache/camel/builder/component/dsl/MockComponentBuilderFactory.java,mockcomponentbuilderimpl,1,1
camel,camel/core/camel-base/src/main/java/org/apache/camel/impl/engine/InterceptSendToMockEndpointStrategy.java,interceptsendtomockendpointstrategy,3,2
camel,camel/components/camel-aws-s3/src/test/java/org/apache/camel/component/aws/s3/AmazonS3ClientMock.java,amazons3clientmock,2,2
camel,camel/components/camel-aws-s3/src/test/java/org/apache/camel/component/aws/s3/AmazonS3EncryptionClientMock.java,amazons3encryptionclientmock,2,2
camel,camel/components/camel-aws-ecs/src/test/java/org/apache/camel/component/aws/ecs/AmazonECSClientMock.java,amazonecsclientmock,2,1
camel,camel/components/camel-beanstalk/src/test/java/org/apache/camel/component/beanstalk/Helper.java,mockconnectionsettings,2,2
camel,camel/components/camel-aws-sqs/src/test/java/org/apache/camel/component/aws/sqs/SqsEndpointUseExistingQueueTest.java,amazonsqsclientmock,2,2
camel,camel/components/camel-aws-sqs/src/test/java/org/apache/camel/component/aws/sqs/AmazonSQSClientMock.java,amazonsqsclientmock,5,2
camel,camel/components/camel-aws2-mq/src/test/java/org/apache/camel/component/aws2/mq/AmazonMQClientMock.java,amazonmqclientmock,1,1
camel,camel/components/camel-aws2-ec2/src/test/java/org/apache/camel/component/aws2/ec2/AmazonEC2ClientMock.java,amazonec2clientmock,1,1
camel,camel/components/camel-aws-lambda/src/test/java/org/apache/camel/component/aws/lambda/AmazonLambdaClientMock.java,amazonlambdaclientmock,8,2
camel,camel/components/camel-digitalocean/src/test/java/org/apache/camel/component/digitalocean/DigitalOceanClientMock.java,digitaloceanclientmock,3,3
camel,camel/components/camel-aws-ddb/src/test/java/org/apache/camel/component/aws/ddb/AmazonDDBClientMock.java,amazonddbclientmock,2,2
camel,camel/components/camel-aws2-ses/src/test/java/org/apache/camel/component/aws2/ses/MockMessage.java,mockmessage,1,1
camel,camel/components/camel-aws2-ses/src/test/java/org/apache/camel/component/aws2/ses/AmazonSESClientMock.java,amazonsesclientmock,1,1
camel,camel/components/camel-aws2-msk/src/test/java/org/apache/camel/component/aws2/msk/AmazonMSKClientMock.java,amazonmskclientmock,1,1
camel,camel/components/camel-cdi/src/test/java/org/apache/camel/cdi/bean/MockAnnotationRoute.java,mockannotationroute,3,3
camel,camel/components/camel-aws2-lambda/src/test/java/org/apache/camel/component/aws2/lambda/AmazonLambdaClientMock.java,amazonlambdaclientmock,1,1
camel,camel/components/camel-aws-sns/src/test/java/org/apache/camel/component/aws/sns/AmazonSNSClientMock.java,amazonsnsclientmock,2,2
camel,camel/components/camel-aws-sns/src/test/java/org/apache/camel/component/aws/sqs/AmazonSQSClientMock.java,amazonsqsclientmock,1,1
camel,camel/components/camel-spring-javaconfig/src/test/java/org/apache/camel/spring/javaconfig/autowire/AutowiringContextConfig.java,mockedroute,1,1
camel,camel/components/camel-spring-javaconfig/src/test/java/org/apache/camel/spring/javaconfig/autowire/ModuleConfig.java,mockedrouteloadedbymodule,1,1
camel,camel/components/camel-mock/src/generated/java/org/apache/camel/component/mock/MockComponentConfigurer.java,mockcomponentconfigurer,5,2
camel,camel/components/camel-mock/src/generated/java/org/apache/camel/component/mock/MockEndpointConfigurer.java,mockendpointconfigurer,4,2
camel,camel/components/camel-mock/src/main/java/org/apache/camel/component/mock/MockValueBuilder.java,mockvaluebuilder,1,1
camel,camel/components/camel-mock/src/main/java/org/apache/camel/component/mock/MockEndpoint.java,mockendpoint,13,4
camel,camel/components/camel-mock/src/main/java/org/apache/camel/component/mock/MockExpressionClauseSupport.java,mockexpressionclausesupport,3,1
camel,camel/components/camel-mock/src/main/java/org/apache/camel/component/mock/MockExpressionClause.java,mockexpressionclause,6,4
camel,camel/components/camel-soroush/src/test/java/org/apache/camel/component/soroushbot/support/SoroushMockServer.java,soroushmockserver,2,2
camel,camel/components/camel-aws2-iam/src/test/java/org/apache/camel/component/aws2/iam/AmazonIAMClientMock.java,amazoniamclientmock,2,1
camel,camel/components/camel-mail/src/test/java/org/apache/camel/component/mail/mock/MyMockTransport.java,mymocktransport,1,1
camel,camel/components/camel-mail/src/test/java/org/apache/camel/component/mail/mock/MyMockStore.java,mymockstore,2,2
camel,camel/components/camel-mail/src/test/java/org/apache/camel/component/mail/mock/MyMockFolder.java,mymockfolder,1,1
camel,camel/components/camel-telegram/src/test/java/org/apache/camel/component/telegram/util/TelegramMockRoutes.java,telegrammockroutes,2,2
camel,camel/components/camel-telegram/src/test/java/org/apache/camel/component/telegram/util/TelegramMockRoutes.java,mockprocessor,2,2
camel,camel/components/camel-stream/src/test/java/org/apache/camel/component/stream/mock/MockURLConnection.java,mockurlconnection,3,3
camel,camel/components/camel-aws2-cw/src/test/java/org/apache/camel/component/aws2/cw/CloudWatchClientMock.java,cloudwatchclientmock,2,1
camel,camel/components/camel-aws-kms/src/test/java/org/apache/camel/component/aws/kms/AmazonKMSClientMock.java,amazonkmsclientmock,2,2
camel,camel/components/camel-aws2-eks/src/test/java/org/apache/camel/component/aws2/eks/AmazonEKSClientMock.java,amazoneksclientmock,1,1
camel,camel/components/camel-aws-swf/src/test/java/org/apache/camel/component/aws/swf/AmazonSWFClientMock.java,amazonswfclientmock,1,1
camel,camel/components/camel-hdfs/src/test/java/org/apache/camel/component/hdfs/MockDataInputStream.java,mockdatainputstream,1,1
camel,camel/components/camel-aws-translate/src/test/java/org/apache/camel/component/aws/translate/AmazonAWSTranslateMock.java,amazonawstranslatemock,1,1
camel,camel/components/camel-exec/src/test/java/org/apache/camel/component/exec/impl/ProvokeExceptionExecCommandExecutor.java,defaultexecutormock,1,1
camel,camel/components/camel-exec/src/test/java/org/apache/camel/component/exec/impl/ExecCommandExecutorMock.java,execcommandexecutormock,3,3
camel,camel/components/camel-sjms/src/test/java/org/apache/camel/component/sjms/support/MockMessageConsumer.java,mockmessageconsumer,3,3
camel,camel/components/camel-sjms/src/test/java/org/apache/camel/component/sjms/support/MockConnection.java,mockconnection,2,2
camel,camel/components/camel-sjms/src/test/java/org/apache/camel/component/sjms/support/MockSession.java,mocksession,3,3
camel,camel/components/camel-sjms/src/test/java/org/apache/camel/component/sjms/support/MockConnectionFactory.java,mockconnectionfactory,2,2
camel,camel/components/camel-jmx/src/test/java/org/apache/camel/component/jmx/MockEndpointFixture.java,mockendpointfixture,2,2
camel,camel/components/camel-aws2-ecs/src/test/java/org/apache/camel/component/aws2/ecs/AmazonECSClientMock.java,amazonecsclientmock,1,1
camel,camel/components/camel-aws-ec2/src/test/java/org/apache/camel/component/aws/ec2/AmazonEC2ClientMock.java,amazonec2clientmock,2,2
camel,camel/components/camel-aws2-sqs/src/test/java/org/apache/camel/component/aws2/sqs/AmazonSQSClientMock.java,amazonsqsclientmock,1,1
camel,camel/components/camel-undertow/src/test/java/org/apache/camel/component/undertow/spi/AbstractSecurityProviderTest.java,mocksecurityprovider,1,1
camel,camel/components/camel-undertow/src/test/java/org/apache/camel/component/undertow/spi/AbstractSecurityProviderTest.java,mocksecurityconfiguration,1,1
camel,camel/components/camel-aws-mq/src/test/java/org/apache/camel/component/aws/mq/AmazonMQClientMock.java,amazonmqclientmock,1,1
camel,camel/components/camel-aws2-ddb/src/test/java/org/apache/camel/component/aws2/ddb/AmazonDDBClientMock.java,amazonddbclientmock,2,2
camel,camel/components/camel-aws-ses/src/test/java/org/apache/camel/component/aws/ses/MockMessage.java,mockmessage,1,1
camel,camel/components/camel-aws-ses/src/test/java/org/apache/camel/component/aws/ses/AmazonSESClientMock.java,amazonsesclientmock,1,1
camel,camel/components/camel-github/src/test/java/org/apache/camel/component/github/producer/PullRequestStateProducerTest.java,mockpullrequeststateproducerprocessor,2,1
camel,camel/components/camel-github/src/test/java/org/apache/camel/component/github/producer/PullRequestFilesProducerTest.java,mockpullfilesproducerprocessor,2,1
camel,camel/components/camel-github/src/test/java/org/apache/camel/component/github/producer/CreateIssueProducerTest.java,mockissuecreateproducerprocessor,2,2
camel,camel/components/camel-github/src/test/java/org/apache/camel/component/github/producer/PullRequestCommentProducerTest.java,mockpullrequestcommentproducerprocessor,2,2
camel,camel/components/camel-github/src/test/java/org/apache/camel/component/github/consumer/PullRequestConsumerTest.java,mockpullrequestprocessor,1,1
camel,camel/components/camel-github/src/test/java/org/apache/camel/component/github/services/MockRepositoryService.java,mockrepositoryservice,3,3
camel,camel/components/camel-github/src/test/java/org/apache/camel/component/github/services/MockPullRequestService.java,mockpullrequestservice,6,6
camel,camel/components/camel-github/src/test/java/org/apache/camel/component/github/services/MockIssueService.java,mockissueservice,5,4
camel,camel/components/camel-github/src/test/java/org/apache/camel/component/github/services/MockCommitService.java,mockcommitservice,5,5
camel,camel/components/camel-splunk/src/test/java/org/apache/camel/component/splunk/Helper.java,mockconnectionsettings,5,4
camel,camel/components/camel-splunk/src/test/java/org/apache/camel/component/splunk/Helper.java,mockconnectionfactory,3,2
camel,camel/components/camel-aws-sdb/src/test/java/org/apache/camel/component/aws/sdb/AmazonSDBClientMock.java,amazonsdbclientmock,1,1
camel,camel/components/camel-ironmq/src/test/java/org/apache/camel/component/ironmq/MockQueue.java,mockqueue,3,2
camel,camel/components/camel-ironmq/src/test/java/org/apache/camel/component/ironmq/IronMQClientMock.java,ironmqclientmock,2,2
camel,camel/components/camel-aws-msk/src/test/java/org/apache/camel/component/aws/msk/AmazonMSKClientMock.java,amazonmskclientmock,5,2
camel,camel/components/camel-aws2-sns/src/test/java/org/apache/camel/component/aws2/sns/AmazonSNSClientMock.java,amazonsnsclientmock,2,1
camel,camel/components/camel-spring/src/test/java/org/apache/camel/component/log/SpringLogMaskTest.java,mockmaskingformatter,1,1
